"model","condition","kappa","n_items","outcome"
"GPT-4o-mini","A",0.966298934999539,3000,"HS"
"GPT-4o-mini","A_batch",0.946875464282827,3000,"HS"
"GPT-4o-mini","A_batch_conf",0.941417663257988,3000,"HS"
"GPT-4o-mini","A_conf",0.968504496097296,3000,"HS"
"GPT-4o-mini","B",0.974808359044499,3000,"HS"
"GPT-4o-mini","B_batch",0.947448594440072,3000,"HS"
"GPT-4o-mini","B_batch_conf",0.909817694409246,3000,"HS"
"GPT-4o-mini","B_conf",0.958869943385412,3000,"HS"
"GPT-4o-mini","C.HS",0.969274369040131,3000,"HS"
"GPT-4o-mini","C.HS_batch",0.956457210408024,3000,"HS"
"GPT-4o-mini","C.HS_batch_conf",0.931670082240763,3000,"HS"
"GPT-4o-mini","C.HS_conf",0.963033043600221,3000,"HS"
"GPT-5.4","A",0.947203211653776,3000,"HS"
"GPT-5.4","A_batch",0.933142857142858,3000,"HS"
"GPT-5.4","A_batch_conf",0.919206038396181,3000,"HS"
"GPT-5.4","A_conf",0.928377573445143,3000,"HS"
"GPT-5.4","B",0.940504977306841,3000,"HS"
"GPT-5.4","B_batch",0.918291329899768,3000,"HS"
"GPT-5.4","B_batch_conf",0.912899689712029,3000,"HS"
"GPT-5.4","B_conf",0.924907020289707,3000,"HS"
"GPT-5.4","C.HS",0.946115737057476,3000,"HS"
"GPT-5.4","C.HS_batch",0.931576803548851,3000,"HS"
"GPT-5.4","C.HS_batch_conf",0.921727928718608,3000,"HS"
"GPT-5.4","C.HS_conf",0.948573955794172,3000,"HS"
"Llama-3.1-70B","A",0.8073486109333,3000,"HS"
"Llama-3.1-70B","A_batch",0.824099262503718,3000,"HS"
"Llama-3.1-70B","A_batch_conf",0.802155755282676,3000,"HS"
"Llama-3.1-70B","A_conf",0.825569766314463,3000,"HS"
"Llama-3.1-70B","B",0.744211008052158,3000,"HS"
"Llama-3.1-70B","B_batch",0.691117900192076,3000,"HS"
"Llama-3.1-70B","B_batch_conf",0.660270201973334,3000,"HS"
"Llama-3.1-70B","B_conf",0.716824592005676,3000,"HS"
"Llama-3.1-70B","C.HS",0.783568733647885,3000,"HS"
"Llama-3.1-70B","C.HS_batch",0.74210228032527,3000,"HS"
"Llama-3.1-70B","C.HS_batch_conf",0.715466300127979,3000,"HS"
"Llama-3.1-70B","C.HS_conf",0.763297794471565,3000,"HS"
"Llama-3.1-8B","A",NA,3000,"HS"
"Llama-3.1-8B","A_batch",0.598843214232515,3000,"HS"
"Llama-3.1-8B","A_batch_conf",0.449798982014907,3000,"HS"
"Llama-3.1-8B","A_conf",0.649148242116709,3000,"HS"
"Llama-3.1-8B","B",0.252904686336145,3000,"HS"
"Llama-3.1-8B","B_batch",0.58432225676254,3000,"HS"
"Llama-3.1-8B","B_batch_conf",0.24493896121447,3000,"HS"
"Llama-3.1-8B","B_conf",0.300028217848435,3000,"HS"
"Llama-3.1-8B","C.HS",0.381626081341751,3000,"HS"
"Llama-3.1-8B","C.HS_batch",0.53652891631331,3000,"HS"
"Llama-3.1-8B","C.HS_batch_conf",0.616594150074205,3000,"HS"
"Llama-3.1-8B","C.HS_conf",0.329861111111111,3000,"HS"
"Llama-4","A",0.988360254168594,3000,"HS"
"Llama-4","A_batch",0.964448958862367,3000,"HS"
