"model","within_min","within_max","within_mean","across_min","across_max","across_mean","human_min","human_max","human_mean"
"GPT-4o-mini",0.83606340206527,0.974808359044499,0.9376885432688,0.574321686276589,0.942463171917335,0.791032897607337,0.405891043563994,0.617017738181919,0.542665666018154
"GPT-5.4",0.912899689712029,0.96219862764583,0.934911183145729,0.694618225007937,0.916789035731767,0.83961481253945,0.504797573165645,0.661499359080991,0.594659241236624
"Mistral-Large-3",0.893121041520056,0.947033214149148,0.92263268169876,0.46357686943461,0.900526536229283,0.676781031065346,0.219498180425206,0.604738027015964,0.473073161719517
"Mistral-Medium-3.5",0.814778106853852,0.916188727512791,0.871931459394551,0.612982787573468,0.910641134797346,0.767624693326783,0.359237554900277,0.671985405416124,0.559821260983217
"Llama-3.1-8B",0.18613518969984,0.800536450951817,0.455828081771161,-0.00195743936312139,0.811497509482246,0.354733507490514,0.137096949535799,0.538284529464687,0.339649193022261
"Llama-3.1-70B",0.660270201973334,0.88840569292697,0.793464625889658,0.619610354206158,0.889546370667488,0.741127504723954,0.424639301988114,0.621488864385715,0.544053506826364
"Llama-4",0.943608783204877,0.990898711763213,0.972438546428126,0.562858924436731,0.917582417582418,0.772246760904163,0.324805440452702,0.58699602867145,0.503750462366794
