"model","outcome","cond_a","cond_b","kappa"
"GPT-5.4","OL","A_batch_conf","C.OL_conf",0.846631721995729
"GPT-5.4","OL","A_conf","B",0.834254143646409
"GPT-5.4","OL","A_conf","B_batch",0.803637679847978
"GPT-5.4","OL","A_conf","B_batch_conf",0.83132643021131
"GPT-5.4","OL","A_conf","B_conf",0.8801261829653
"GPT-5.4","OL","A_conf","C.OL",0.888848061730663
"GPT-5.4","OL","A_conf","C.OL_batch",0.820326177093891
"GPT-5.4","OL","A_conf","C.OL_batch_conf",0.820689655172414
"GPT-5.4","OL","A_conf","C.OL_conf",0.916789035731767
"GPT-5.4","OL","B","B_batch",0.851721046849409
"GPT-5.4","OL","B","B_batch_conf",0.845271889273452
"GPT-5.4","OL","B","B_conf",0.91095729310171
"GPT-5.4","OL","B","C.OL",0.897774203661046
"GPT-5.4","OL","B","C.OL_batch",0.829243137281687
"GPT-5.4","OL","B","C.OL_batch_conf",0.851662404092072
"GPT-5.4","OL","B","C.OL_conf",0.80547524717136
"GPT-5.4","OL","B_batch","B_batch_conf",0.874475795491099
"GPT-5.4","OL","B_batch","B_conf",0.841399363298893
"GPT-5.4","OL","B_batch","C.OL",0.838873139451795
"GPT-5.4","OL","B_batch","C.OL_batch",0.884117549285157
"GPT-5.4","OL","B_batch","C.OL_batch_conf",0.882559158632778
"GPT-5.4","OL","B_batch","C.OL_conf",0.796965557975562
"GPT-5.4","OL","B_batch_conf","B_conf",0.848335235302117
"GPT-5.4","OL","B_batch_conf","C.OL",0.851022437525732
"GPT-5.4","OL","B_batch_conf","C.OL_batch",0.86689621285016
"GPT-5.4","OL","B_batch_conf","C.OL_batch_conf",0.879801174875734
"GPT-5.4","OL","B_batch_conf","C.OL_conf",0.826551929010867
"GPT-5.4","OL","B_conf","C.OL",0.900518930491239
"GPT-5.4","OL","B_conf","C.OL_batch",0.840784761993632
"GPT-5.4","OL","B_conf","C.OL_batch_conf",0.860262008733624
"GPT-5.4","OL","B_conf","C.OL_conf",0.845616614592905
"GPT-5.4","OL","C.OL","C.OL_batch",0.834520358147767
"GPT-5.4","OL","C.OL","C.OL_batch_conf",0.85968028419183
"GPT-5.4","OL","C.OL","C.OL_conf",0.879942972912133
"GPT-5.4","OL","C.OL_batch","C.OL_batch_conf",0.91273374888691
"GPT-5.4","OL","C.OL_batch","C.OL_conf",0.809914555651748
"GPT-5.4","OL","C.OL_batch_conf","C.OL_conf",0.817840375586855
"Mistral-Large-3","OL","A","A_batch",0.599966229890807
"Mistral-Large-3","OL","A","A_batch_conf",0.594375338020552
"Mistral-Large-3","OL","A","A_conf",0.718720249257133
"Mistral-Large-3","OL","A","B",0.833266317669711
"Mistral-Large-3","OL","A","B_batch",0.62179158981698
"Mistral-Large-3","OL","A","B_batch_conf",0.656111190715002
"Mistral-Large-3","OL","A","B_conf",0.675190760981646
"Mistral-Large-3","OL","A","C.OL",0.814135146052602
"Mistral-Large-3","OL","A","C.OL_batch",0.592033337380153
"Mistral-Large-3","OL","A","C.OL_batch_conf",0.611430170115872
"Mistral-Large-3","OL","A","C.OL_conf",0.806248013693665
"Mistral-Large-3","OL","A_batch","A_batch_conf",0.783958258399936
"Mistral-Large-3","OL","A_batch","A_conf",0.506853206199359
"Mistral-Large-3","OL","A_batch","B",0.595700913052102
"Mistral-Large-3","OL","A_batch","B_batch",0.806626141144501
"Mistral-Large-3","OL","A_batch","B_batch_conf",0.759377053928504
