outcome,model,prev,sd_nominal,sd_run,sd_design,sd_total,deff
OL,GPT-4o-mini,0.7594537037037037,0.007803498694697371,0.0018658728023507726,0.04956258891283601,0.050207830992141766,41.39655452457761
OL,GPT-5.4,0.7538148148148148,0.007865071302506233,0.0018683523847782305,0.018973072602477933,0.020623471366530716,6.87572039842328
OL,Mistral-Large-3,0.846074074074074,0.0065886957549470635,0.0013888888557788373,0.04254886829182929,0.0430783717997837,42.7483791990765
OL,Mistral-Medium-3.5,0.7965555555555556,0.007349712068490298,0.00271711534959468,0.026690927011843526,0.027817378885586497,14.324905333397615
OL,Llama-3.1-8B,0.754572360539933,0.007856905948466109,0.007869402846905245,0.11904436357756244,0.11956261527683641,231.57288344948432
OL,Llama-3.1-70B,0.7891759259259259,0.007447086317589438,0.0032645684371282175,0.03278210433730562,0.033775477294692866,20.569806886811914
OL,Llama-4,0.8175740740740741,0.007050926829762512,9.59037560925598e-4,0.037428879476630365,0.038099295808164915,29.197218610642498
HS,GPT-4o-mini,0.3979814814814815,0.008936670183002293,0.0017803799960859749,0.035317771324473377,0.03647435809192561,16.658038242430525
HS,GPT-5.4,0.18609259259259256,0.007105447196218779,0.0017890268623247452,0.023088400323472483,0.024223175400209136,11.621958361013608
HS,Mistral-Large-3,0.33248148148148154,0.008601115159353094,0.002939723608599133,0.0782232163174519,0.07874955700146052,83.82753852603423
HS,Mistral-Medium-3.5,0.32674999999999993,0.008563185495674686,0.004297932254304815,0.0336357004496171,0.0349737145901361,16.680644223739225
HS,Llama-3.1-8B,0.32140091450236496,0.008526475760035297,0.006536100766654303,0.1020945677633533,0.10265827861845467,144.96021749312342
HS,Llama-3.1-70B,0.3557407407407407,0.008740504678754155,0.004444444440434361,0.03831756380635502,0.039552309723675044,20.477205119269712
HS,Llama-4,0.3961018518518518,0.008929448934310663,0.0018121673792935791,0.0443574096183578,0.04528353781377752,25.71765596478496
